cusip,sim,comp_st_years,comp_en_years,comp_conm,factiva_comp,factiva_tag,manual_tag
66986Q10,0.923076923,1993,1999,NOVACARE EMPLOYEE SVCS INC,Novacare Employee Services Inc,nvcrem,nvcrem
67107510,0.695652174,1993,1998,OACIS HEALTHCARE HLDGS CORP,Oacis Healthcare Systems,ohcs,ohcs
67623R10,0.943396226,1996,2012,OFFICIAL PAYMENTS HLDGS INC,Official Payments Holdings Inc.,tiertc,tiertc
68111610,0.872727273,2010,2018,OLLIE'S BARGAIN OUTLET HLDGS,Ollie's Bargain Outlet Holdings Inc.,ollboi,ollboi
68337210,0.628571429,1992,2001,ONTRACK DATA INTL INC,Kroll Ontrack Inc.,ondain,
68382T10,0.877192982,1997,2006,OPTICAL COMMUNICATION PRODS,Optical Communication Products Inc,opcmtp,opcmtp
68860910,0.830188679,1990,1999,O'SULLIVAN INDS HLDGS INC,O'Sullivan Industries Holdings Inc,osulin,osulin
69046910,0.888888889,2015,2018,OVID THRPUTCS INC,Ovid Therapeutics Inc.,ovdti,ovdti
69347510,0.925925926,1958,2018,PNC FINANCIAL SVCS GROUP INC,PNC Financial Services Group Inc,pitnat,pitnat
69523G10,0.928571429,1980,1993,PACO PHARMACEUTICAL SVCS INC,PACO PHARMACEUTICAL SERVICES INC,ppsi,ppsi
69670510,0.888888889,1986,1995,PALM SPRINGS SVGS BK FSB,PALM SPRINGS SAVINGS BANK FSB,plmbnk,plmbnk
70213F10,0.872727273,2000,2006,PARTNERS TRUST FINL GRP INC,Partners Trust Financial Group Inc,prtgnc,prtgnc
70319310,0.954545455,1982,1995,PATHE COMMUNICATIONS CP,Pathe Communications Corp,cangro,cangro
70338W10,0.833333333,2009,2018,PATRIOT TRANSPORTATION HLDG,New Patriot Transportation Holding Inc,zhfqjg,zhfqjg
71103710,0.819672131,2008,2014,PEOPLES FEDERAL BANCSHS INC,Peoples Federal Bancshares Incorporated,peofbi,peofbi
71270410,0.893617021,1988,2018,PEOPLE'S UNITED FINL INC,People's United Financial Inc,pbrdge,pbrdge
71400610,0.826086957,1992,2000,PERITUS SOFTWARE SVCS INC,Peritus Software Services,periso,periso
71427610,0.905660377,1994,1997,PERPETUAL MIDWEST FINL INC,PERPETUAL MIDWEST FINANCIAL INC,ppmid,ppmid
71713K10,0.846153846,1986,1994,PHARMACY MANAGEMENT SVCS,Pharmacy Management Services Inc,phmsys,phmsys
71940Q10,0.808510638,1987,1996,PHYSICIANS HEALTH SVC,PHYSICIANS HEALTH SERVICES INC.,phserv,phserv
71940V10,0.92,1991,1996,PHYSICIAN SUPPORT SYS INC,PHYSICIAN SUPPORT SYSTEMS INC,physup,physup
71941010,0.714285714,1982,1994,PHYSICIANS INS CO/OH,PHYSICIANS INSURANCE CO OF OHIO,picoa,picoa
71941S10,0.961538462,1994,1997,PHYSICIANS RESOURCE GRP INC,PHYSICIANS RESOURCE GROUP INC,physrs,physrs
72346Q10,0.905660377,2001,2018,PINNACLE FINL PARTNERS INC,Pinnacle Financial Partners Inc,pnfnpt,pnfnpt
72367210,0.923076923,1986,1996,PIONEER FINANCIAL SVCS INC,Pioneer Financial Services Inc,piofs,piofs
73860410,0.958333333,1985,1997,POUGHKEEPSIE FINANCIAL CP,POUGHKEEPSIE FINANCIAL CORP,pghsb,pghsb
74016520,0.92,1994,1999,PRECEPT BUSINESS SVCS INC,Precept Business Services Inc,prcptb,prcptb
74047310,0.928571429,1999,2006,PREMIER CMNTY BANKSHARES INC,Premier Community Bankshares Inc,marfic,marfic
74051230,0.95,1960,1994,PREMIER INDUSTRIAL CP,PREMIER INDUSTRIAL CORP,pre,pre
74144T10,0.588235294,1985,2018,PRICE (T. ROWE) GROUP,T Rowe Price Group Inc,rowpri,rowpri
74148810,0.791666667,1983,1992,PRICE/STERN/SLOAN INC,PRICE STERN SLOAN PUBLISHERS INC,psasan,psasan
74251V10,0.961538462,1999,2018,PRINCIPAL FINANCIAL GRP INC,Principal Financial Group Inc,pmlife,pmlife
74264T10,0.952380952,1995,2004,PRIORITY HEALTHCARE CP,Priority Healthcare Corp,priort,priort
74308810,0.962962963,1995,2004,PRODUCTIVITY TECHNOLOGIES CP,Productivity Technologies Corp,prsq,prsq
74340610,0.925925926,1994,2005,PROLOGIC MANAGEMENT SYS INC,Prologic Management Systems Inc,prlman,prlman
74349410,0.941176471,2000,2010,PROSPECT MEDICAL HLDGS INC,Prospect Medical Holdings Inc,mdserc,mdserc
74386610,0.961538462,1988,2003,PROVIDENT FINANCIAL GRP INC,Provident Financial Group Inc,prbk,prbk
74386T10,0.928571429,2000,2018,PROVIDENT FINANCIAL SVCS INC,Provident Financial Services Inc,prvfin,prvfin
74837610,0.526315789,1982,1996,QUICK & REILLY GROUP INC,Merrill Lynch & Co Inc,merly,
74912110,0.981132075,1984,2010,QWEST COMMUNICATION INTL INC,Qwest Communications International Inc,qwestc,qwestc
7.49E+14,0.482758621,1957,1999,R & B FALCON CORP,Oracle Corporation,orcle,
74934Q10,0.511627907,1994,2018,RCI HOSPITALITY HLDGS INC,Rick's Cabaret International Inc,ricabt,
75087U10,0.877192982,2001,2009,RAINIER PACIFIC FINL GRP INC,Rainier Pacific Financial Group Inc,rpfg,rpfg
75656720,0.95,1987,1993,RED EAGLE RESOURCES CP,Red Eagle Resources Corp,reder,reder
75959430,0.944444444,1983,2005,REMINGTON OIL&GAS CP,Remington Oil & Gas Corp,okc,okc
75966Q40,0.833333333,1993,2002,RENAISSANCE ENTMT CORP,Renaissance Entertainment Corp,renent,renent
76119710,0.813559322,1992,2001,RESOURCE BANCSHARES MTG GRP,Resource Bancshares Mortgage Group Inc,remi,remi
76131N10,0.836363636,2007,2018,RETAIL OPPORTUNITY INVTS CP,Retail Opportunity Investment Corp.,nrdcac,nrdcac
76243J10,0.888888889,2015,2018,RHYTHM PHARMACEUTICLS,Rhythm Pharmaceuticals Inc,rhyphi,rhyphi
76455610,0.897959184,1996,2000,RICHMOND COUNTY FINL CORP,Richmond County Financial Corp,rcntyf,rcntyf
78403010,0.962962963,1985,1994,SCS/COMPUTE INC,SCS Comute Inc,scsco,scsco
78413P10,0.933333333,2013,2018,SEACOR MARINE HLDGS INC,SEACOR Marine Holdings Inc,rwiwij,rwiwij
80137810,0.892857143,1989,2000,SANTA BARBARA RESTAURANT GRP,Santa Barbara Restaurant Group Inc,gbfod,gbfod
80283M10,0.877192982,2005,2018,SANTANDER CONSUMER USA HLDGS,Santander Consumer USA Holdings Inc,dfslp,dfslp
80479510,0.772727273,1962,1997,SAVANNAH FOODS & INDS,Savannah Foods & Industries Inc,svan,svan
80537510,0.75,1992,1995,SAVOY PICTURES ENTMT INC,Savoy Pictures Entertainment,svpe,svpe
80851310,0.536585366,1987,2018,SCHWAB (CHARLES) CORP,The Charles Schwab Corporation,schwab,schwab
80862510,0.961538462,2008,2018,SCIENCE APPLICATIONS INTL CP,Science Applications International Corp.,saicgu,saicgu
80874710,0.941176471,1990,1999,SCIENTIFIC GAMES HLDGS CORP,SCIENTIFIC GAMES HOLDINGS CORP,scigam,scigam
80938610,0.84,1986,1998,SCOTT & STRINGFELLOW FINL,SCOTT AND STRINGFELLOW FINANCIAL,scstf,scstf
81413P20,0.857142857,1993,2001,SECURITY CAP GRP INC,Security Capital Group Inc,scgrp,scgrp
81424D10,0.901960784,2000,2002,SECURITY FINL BANCORP INC,Security Financial Bancorp Inc,sefinb,sefinb
81478530,0.765957447,1987,2018,SECURITY NATL FINL CP,Security National Financial Corp,snlfin,snlfin
81517R10,0.941176471,1988,1996,SEDA SPECIALITY PACKAGING CP,SEDA SPECIALTY PACKAGING CORP,sdspc,sdspc
81727U10,0.631578947,2014,2018,SENSEONICS HLDGS INC,ASN Technologies Inc.,asntcz,
82213510,0.88,1983,1998,SHELBY WILLIAMS INDS INC,Shelby Williams Industries Inc,swii,swii
82769410,0.96,2013,2014,SILVER EAGLE ACQUISITION CP,Silver Eagle Acquisition Corp.,sveagq,sveagq
82873020,0.857142857,1982,2018,SIMMONS FIRST NATL CP,Simmons First National Corp,simmnb,simmnb
83014010,0.65,1980,1989,SIZZLER RESTAURANTS INTL INC,Sizzler USA Inc.,sizz,
83083P10,0.866666667,1993,2004,SKYLINE MULTIMEDIA ENTMT INC,Skyline Multimedia Entertainment Inc,skymut,skymut
83186520,0.454545455,1960,2018,SMITH (A.O.),Smith Investment Co,smthiv,
83238810,0.606060606,1987,1996,SMITHS FOOD & DRUG,Smithfield Foods Inc,smfods,
83379310,0.615384615,1996,2000,SODEXHO MARRIOTT SVCS INC,Marriott International Inc.,sdhmrt,
83400510,0.592592593,1989,1997,SOFAMOR/DANEK GROUP INC,Medtronic Sofamor Danek Incorporated,dnkgrp,
83611Q40,0.962962963,1996,2002,SOUNDVIEW TECHNOLOGY GRP INC,SoundView Technology Group Inc,witcap,witcap
83704610,0.913043478,1964,1990,SOUTH CAROLINA NATL CORP,SOUTH CAROLINA NATIONAL CORP,scnc,scnc
84263210,0.823529412,1999,2011,SOUTHERN CMNTY FINL CORP,Southern Community Financial Corp,sthcmm,sthcmm
84642583,0.945454545,1998,2018,SPANISH BROADCASTING SYS INC,Spanish Broadcasting System Inc,sbsc,sbsc
84780810,0.80952381,1982,1991,SPELLING ENTMT INC,SPELLING ENTERTAINMENT INC,spllga,spllga
84862310,0.943396226,1994,1999,SPLASH TECHNOLOGY HLDGS INC,Splash Technology Holdings Inc,splsht,splsht
84920F10,0.851851852,2007,2008,SPORTS PROPERTIES ACQ CORP,Sports Properties Acquisition Corp,spaqcp,spaqcp
84920Y10,0.872727273,2010,2018,SPORTSMANS WAREHOUSE HLDGS,"Sportsman's Warehouse Holdings, Inc.",sporwh,sporwh
85685510,0.869565217,1990,2004,STATE FINANCIAL SVCS CP,State Financial Services Corp,stfins,stfins
85712410,0.981132075,2003,2005,STATE NATIONAL BANCSHARS INC,State National Bancshares Inc,snatbi,snatbi
85804510,0.958333333,1988,1996,STECK-VAUGHN PUBLISHING CP,STECK VAUGHN PUBLISHING CORP,stekv,stekv
85932610,0.961538462,1990,1995,STERLING HEALTHCARE GRP INC,STERLING HEALTH CARE GROUP INC,sthlt,sthlt
86209910,0.666666667,1950,1995,STOP & SHOP COS,Stop & Shop Supermarket Companies,stpshp,stpshp
86211120,0.95,1971,2004,STORAGE TECHNOLOGY CP,Storage Technology Corp,stgtec,stgtec
86444410,0.6,1992,2001,SUBURBAN LODGES AMER INC,"Suburban Franchise Systems, Inc.",subldg,
86607810,0.93877551,1991,1997,SUMMIT HLDG SOUTHEAST INC,SUMMIT HOLDING SOUTHEAST INC,sumhse,sumhse
86667020,0.842105263,1983,1997,SUN COAST INDS INC,SUN COAST INDUSTRIES INC,aesi,aesi
86667810,0.9,1998,2000,SUN CMNTY BANCORP LTD,Sun Community Bancorp Ltd,suncmb,suncmb
86688110,0.826086957,1988,1997,SUN TV & APPLIANCES INC,Sun Television & Appliances Inc,suntel,suntel
86691010,0.6875,1985,1995,SUNCOAST SVGS & LN ASSN FSA,SUNCOAST SLA (FL),sncs,
86731410,0.816326531,1986,1993,SUNDOWNER OFFSHORE SVCS INC,Sundower Offshore Services,sunofs,sunofs
86768A10,0.928571429,1987,1997,SUNRISE EDUCATIONAL SVCS INC,Sunrise Educational Services Inc,snpscl,snpscl
86769L10,0.923076923,1988,2000,SUNRISE TECHNOLOGY INTL INC,Sunrise Technologies International Inc,sunte,sunte
86814610,0.909090909,1995,2003,SUPERIOR CONSULTANT HLDGS CP,Superior Consultant Holdings Corp,supcoh,supcoh
86822410,0.5,1988,1998,SUPERIOR NATL INS GROUP INC,SNTL Corp,supnic,
86859610,0.92,1967,1992,SUPREME EQUIP & SYSTEMS CORP,Supreme Equipment & Systems Corp,seqp,seqp
87080910,0.947368421,1991,1998,SWISHER INTL GRP INC,Swisher International Group Inc,swshr,swshr
87154P10,0.944444444,1995,2002,SYMONS INTERNATIONAL GRP INC,Symons International Group Inc,symig,symig
87872Q10,0.916666667,1990,1996,TECHNOLOGY SVC GROUP INC,TECHNOLOGY SERVICE GROUP INC,techsg,techsg
87924H10,0.765957447,1990,1997,TELE-COMMUN INTL INC,Loop Telecommunication International Inc,loopte,
87929J10,0.923076923,1996,2014,TELECOMMUNICATION SYS INC,TeleCommunication Systems Inc,tlmmys,tlmmys
88077510,0.872727273,1996,2006,TERAYON COMMUN SYSTEMS INC,Terayon Communication Systems Inc,teray,teray
89341410,0.72,1991,1998,TRANSACTION NETWORK SVCS INC,Triton Network Systems Inc,tritnt,
89353710,0.8125,1992,1999,TRANSCOASTAL MARINE SVCS INC,Transcoastal Marine Services Incorporated,tracoa,tracoa
89371910,0.958333333,1968,1996,TRANSITIONAL HOSPITALS CP,TRANSITIONAL HOSPITALS CORP,cpsyc,cpsyc
89472N10,0.851851852,2007,2008,TREMISIS ENERGY ACQ CORP II,Tremisis Energy Acquisition Corp II,treea,treea
89678F10,0.941176471,2011,2018,TRISTATE CAPITAL HLDGS INC,"TriState Capital Holdings, Inc.",tcaphi,tcaphi
89708P10,0.96,1994,2003,TROPICAL SPORTSWEAR INTL CP,Tropical Sportswear International Corp,tropsp,tropsp
89790810,0.925925926,1991,1997,TRUSTED INFORMATION SYS INC,TRUSTED INFORMATION SYSTEMS INC,tisinc,tisinc
90130N10,0.444444444,1981,2006,21ST CENTURY INS GROUP,Farmers Insurance Group of Companies,frmgrp,
90295630,0.9,1995,1999,U S FRANCHISE SYS INC,US Franchise Systems Inc,franus,franus
90783410,0.888888889,1994,1999,UNION PACIFIC RESOURCES GRP,UNION PACIFIC RESOURCES GROUP INC,prnpcf,prnpcf
90853610,0.96,2006,2007,UNION STREET ACQUISITION CP,Union Street Acquisition Corp.,uioee,uioee
90890310,0.947368421,1987,1995,UNIROYAL CHEMICAL CP,UNIROYAL CHEMICAL CORP,uccinv,uccinv
90942010,0.863636364,1985,1999,UNITED ASSET MGMT CORP,United Asset Management Corp,uamc,uamc
91004710,0.945454545,1950,2018,UNITED CONTINENTAL HLDGS INC,"United Continental Holdings, Inc.",ual,ual
91146010,0.93877551,1999,2018,UNITED SECURITY BANCSHARS CA,United Security Bancshares (CA),utdsec,utdsec
91192210,0.666666667,1968,2018,U S LIME & MINERALS,United States Lime & Minerals Inc,rang,rang
91289210,0.857142857,1984,1990,US WEST NEWVECTOR GRP,U S WEST NEWVECTOR GROUP INC,uswen,uswen
91343110,0.590909091,1996,2006,UNIVERSAL COMPRESSION HLDGS,Hanover Compressor Co,hanovc,
91359V10,0.867924528,1991,2018,UNIVERSAL INSURANCE HLDGS,Universal Insurance Holdings Inc,unihgh,unihgh
91388P10,0.357142857,1999,2018,UNIVERSAL LOGISTICS HLDGS,US Securities and Exchange Commission,seexc,
91826110,0.923076923,1993,2002,VLPS LIGHTING SERVICES INTL,VLPS Lighting Services International Inc,varlit,varlit
92211L10,0.727272727,2017,2018,VANTAGE ENERGY ACQ CORP,Vantage Energy Acquisition Corporation,tmyfhl,tmyfhl
92705T20,0.769230769,2003,2018,VILLAGE BANK AND TRUST FINL,Village Bank & Trust Financial Corp.,socbtc,socbtc
92775810,0.925925926,1999,2000,VIRGINIA CAP BANCSHARES INC,VIRGINIA CAPITAL BANCSHARES INC,vacapb,vacapb
92781210,0.96,1983,1997,VIRGINIA FIRST FINANCIAL CP,Virginia First Financial Corp,virfs,virfs
9.28E+14,0.923076923,1988,1997,VITALINK PHARMACY SVCS INC,VITALINK PHARMACY SERVICES INC,vtlnk,vtlnk
94154710,0.327868852,1986,1995,WATERHOUSE INVESTORS SVCS,Employee Benefits Security Administration,usebsa,
94183210,0.863636364,1991,1998,WATERMARC FOOD MGMT CO,Watermarc Food Management Co,billyb,billyb
94742310,0.533333333,1960,2000,WEBB (DEL E) CORP,Del Webb Corporation,wbbdel,wbbdel
94947010,0.772727273,1992,2001,WELLCARE MGMT GROUP,Wellcare Management Group Inc,wllca,wllca
95218210,0.705882353,1991,1999,WEST COAST ENTMT CORP,West Coast Entertainment Corporation,wcentc,wcentc
95804340,0.85,1967,1993,WESTERN CO OF NO AMER,Western Company of North America,wstrnc,wstrnc
96380110,0.96,1968,2009,WHITE ELECTRONIC DESIGNS CP,White Electronic Designs Corp,bom,bom
97111W10,0.893617021,2000,2008,WILLOW FINL BANCORP INC,Willow Financial Bancorp Inc,wlgrbc,wlgrbc
97652L10,0.961538462,1995,2012,WIRELESS XCESSORIES GRP INC,Wireless Xcessories Group Inc,batbat,batbat
98138210,0.826086957,1990,1995,WORKINGMENS CAP HLDGS INC,WORKINGMENS CAPITAL HLDGS (IN),wkgmch,wkgmch
98155G10,0.961538462,1992,1999,WORLDTALK COMMUNICATIONS CP,WORLDTALK COMMUNICATIONS CORP,wldtlk,wldtlk
98156Q10,0.851851852,1997,2018,WORLD WRESTLING ENTMT INC,World Wrestling Entertainment Inc,titnsp,titnsp
98311A10,0.88372093,2013,2018,WYNDHAM HOTELS & RESRTS,Wyndham Hotels & Resorts Inc,sylwyn,sylwyn
98412V10,0.837209302,1991,1998,XOMED SURGICAL PRODS,Xomed Surgical Products Inc,xmdsur,xmdsur
98422L10,0.933333333,2016,2018,XERIS PHARMATICALS INC,Xeris Pharmaceuticals Inc.,xrphar,xrphar
98887G10,0.363636364,2013,2017,ZAIS GROUP HLDGS INC,HF2 Financial Management Inc.,htwofm,
G2151510,0.84,2007,2018,CHINA BIOLOGIC PRODUCTS HLDG,China Biologic Products Inc,grchld,grchld
G9618E10,0.653846154,1984,2018,WHITE MTNS INS GROUP LTD,White Mountains Insurance Group Inc,fmfnd,fmfnd
